i1	i10	i11	i12	i13	i14	i15	i16	i2	i3	i4	i5	i6	i7	i8	i9
OTU_101244_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_101251_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_101256_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_101257_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101258_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU_101263_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101268_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_101276_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101278_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_101282_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_101286_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_10129_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_101320_16S	2	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
OTU_101338_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101344_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101346_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_101348_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101349_16S	0	1	0	2	0	0	0	0	0	0	2	1	0	0	0	2
OTU_101359_16S	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_101367_16S	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_101370_16S	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_101383_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
OTU_101384_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_101389_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101396_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101397_16S	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_101398_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1014_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101412_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_101415_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101418_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_101420_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_101422_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_101428_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_10143_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101441_16S	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
OTU_101460_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_101461_16S	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
OTU_101477_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_101481_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_101495_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101498_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101517_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101525_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_101529_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_101541_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_101544_16S	1	0	0	2	1	0	0	0	0	1	1	0	2	0	2	0
OTU_101547_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_101549_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_10156_16S	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU_101566_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_101585_16S	3	4	0	2	6	3	7	2	2	3	4	5	2	3	3	4
